Restaurant,Plat,Preu,Tags,Ingredients,Scraped_At
Incorrecte,"Guatlla farcida amb escabetx fumat, bolets confitats i escarola","21,50€","Farcit,Caça,Olla,Bolets,Escabetx,Fumat,Confitat,Temporada de tardor/hivern,Plat principal,Cuina mediterrània,Cuina tradicional catalana,Plat elaborat,Textures","Guatlla,Carn picada (per al farciment),Foie gras (opcional, per al farciment),Fruita seca (prunes, panses, pinyons, ametlles - per al farciment),Herbes aromàtiques (timó, romaní, llorer),Ceba,All,Pebre,Sal,Oli d'oliva verge extra,Vinagre de vi negre,Vi ranci o xerès,Pastanaga,Bledes (per al escabetx),Peperons (per al escabetx),Fum líquid o vitriol (per al escabetx fumat),Bolets (tipus variat: xampinyons, shitakes, portobellos, etc.),Oli d'oliva (per confitar),All (per confitar),Herbes aromàtiques (timó, llorer - per confitar),Escarola",2025-09-24T17:39:14.139399
Incorrecte,Cargols amb sobrassada i all i oli de sobrassada,"18,50€","tapas,aperitiu,cuina espanyola,cuina mallorquina,plat contundent,plat de temporada,sobrassada,cargols,all i oli,picant","cargols,sobrassada,all,oli d'oliva,sal,pebre,julivert (opcional),pebre vermell (opcional)",2025-09-24T17:39:15.172046
Incorrecte,Calamarets farcits de botifarra del perol amb salsa de la seva tinta i textures de coliflor,"19,50€","marisc,tapes,plat principal,cuina catalana,farcit,salsa de tinta,coliflor,botifarra,textura","calamarets,botifarra del perol,salsa de la seva tinta,coliflor,ceba,all,tomàquet,oli d'oliva,vi blanc,sal,pebre,julivert,farina",2025-09-24T17:39:16.768902
Incorrecte,"Carbassó amb all blanc, mostassa en gra, papada i praliné d'ametlla","17,50€","vegetarià,carns,postres,aperitiu,plat principal,estiu,fresc,salat,dolç,cruixent,suau,d'autor,tapes","carbassó,all blanc,mostassa en gra,papada,ametlla,oli d'oliva,sal,pebre",2025-09-24T17:39:17.891292
Incorrecte,"Rosbif de senglar amb espàrrecs verds, tikka masala català, cacauet i chimichurri d'algues","19,00€","plat principal,carn de caça,fusió,català,indi,asiàtic,sud-americà,modern,gourmet,exòtic,espàrrecs,senglar,rosbif,tikka masala,chimichurri,algues,cacauet","senglar (rostit),espàrrecs verds,tomàquet,ceba,all,gingebre,llet de coco,iogurt natural,garam masala,curri en pols,cúrcuma,pebre vermell (dolç i picant),oli vegetal,sal,cacauets, julivert,cilantre,orenga,mongetes,vinagre,oli d'oliva,algues (diverses varietats),suc de llimona,bitxo",2025-09-24T17:39:19.899556
Incorrecte,"Caneló de llebre amb beixamel, flor de cacau i bolets","20,00€","caneló,llebre,caça,beixamel,salses,cacau,bolets,pastes,plat principal,cuina tradicional,gourmet,interpretació moderna","Pasta de caneló,Llebre,Carn de porc (per al farcit, opcional),Verdures (ceba, pastanaga, api, all),Vi negre,Oli d'oliva,Sal,Pebre negre,Farina,Llet,Mantega,Nou moscada,Flor de cacau (probablement en pols o com a element decoratiu amb gust de cacau),Bolets (varietat a determinar, per exemple, camagrocs, rossinyols, ceps),Salseta de bolets (opcional, per acompanyar)",2025-09-24T17:39:21.754380
Incorrecte,Gamba vermella mitjana,"26,00€","Marisc,Peix,Cuina marinera,Entrant,Plat principal,Salat,D'aprofitament,Tapes,Producte fresc,Temporada","Gamba vermella,Sal",2025-09-24T17:39:22.835190
Incorrecte,"Esqueixada de llobarro amb tomàquet cherry, tomàquet de Montserrat, oliva negra i escarola","17,00€","esqueixada,peix,llobarro,peix blanc,verdures,amanida,plat fred,plat lleuger,plat mediterrani,fresc,estiu,productes de proximitat,Catalunya","llobarro,tomàquet cherry,tomàquet de Montserrat,oliva negra,escarola,oli d'oliva verge extra,sal,vinagre (opcional)",2025-09-24T17:39:24.442794
Incorrecte,"Caneló de pollastre rostit amb escamarlans curats, pa amb mantega i beixamel.","19,00€","plat principal,català,tradicional,pasta,aus,marisc,cremós,confort food, Nadal","caneló,pollastre rostit,escamarlans curats,pa,mantega,beixamel,oli d'oliva,sal,pebre",2025-09-24T17:39:25.400566
Incorrecte,Calamarets farcits de botifarra del perol amb salsa de la seva tinta i textures de coliflor,"19,50€","plat principal,peix,mar i muntanya,tradicional,català,elaborat,recepta de temporada,plat d'ocasió","Calamarets,Botifarra del perol,Ceba,Tomàquet triturat,Oli d'oliva verge extra,Sal,Pebre negre,Farina,Ous,Pa ratllat,Vi blanc,All,Julivert,Tinta de calamar,Coliflor",2025-09-24T17:39:26.576717
Incorrecte,Callos de bacallà amb cap i pota i brou de cigrons,"19,50€","plat principal,plat de cullera,plat tradicional,plat de cuina casolana,plat de temporada,plat amb peix,plat amb llegums,plat amb tripa,plat amb morro,plat amb peus,plat contundent,plat gustós,plat aromàtic,plat amb picant (opcional),plat espanyol,plat català (adaptació)","callos de bacallà,cap i pota de porc,cigrons,ceba,all,tomàquet madur,pebre vermell (dolç i/o picant),sal,pebre negre,fulla de llorer,timó,romaní,oli d'oliva verge extra,aigua o brou de peix/verdura (per al brou de cigrons),cervell d'ovella (opcional, per a la textura dels callos),pebre de Caiena o bitxo (opcional, per a un toc picant),molla de pa (opcional, per espessir)",2025-09-24T17:39:28.500014
Incorrecte,"Cogombre macerat amb sardina fumada, burrata i romesco de remolatxa","17,00€","plat fred,aperitiu,entrant,versàtil,fresc,mar i muntanya,català,modern,colorit,contrast de textures,vegetarià (sense sardina),sense gluten","cogombre,sardina fumada,burrata,remolatxa,ametlles,avellanes,pebrots xips (o pebrot escalivat),tomàquet (escalivat o confitat),all,oli d'oliva verge extra,vinagre (de vi o de Jerez),sal,pebre negre,mel (opcional, per a macerar el cogombre),herbes fresques (cinglera, anet, julivert, per a guarnir, opcional)",2025-09-24T17:39:30.244670
Incorrecte,"Rosbif de senglar amb espàrrec blanc, tikka masala català, cacauet i chimichurri d'algues","19,00€","roast,boar,game,asparagus,white asparagus,catalan cuisine,tikka masala,indian fusion,peanut,chimichurri,seaweed,gastronomic,modern,fusion,meat,vegetable,sauce","senglar (roast boar),espàrrec blanc (white asparagus),tikka masala,cacauet (peanut),chimichurri,algues (seaweed),oli d'oliva (olive oil),all (garlic),ceba (onion),tomàquet (tomato),nata (cream),iogurt (yogurt),especias de tikka masala (tikka masala spices),vinagre (vinegar),pebre vermell (paprika),orenga (oregano),julivert (parsley),sal (salt),pebre negre (black pepper)",2025-09-24T17:39:32.057222
Incorrecte,"Sopa d'estiu de ceba amb nap encurtit, gel de ceba, formatge blau i seitó.","16,00€","sopa,estiu,ceba,encurtit,nap,gel,formatge blau,seitó,plat fred,aperitiu,primers plats","ceba,nap,vinagre,sucre,aigua,formatge blau,seitó,sal,oli d'oliva",2025-09-24T17:39:33.131401
Incorrecte,"Bacallà a la lleidatana amb poma, tempura salada, espinacs i pinyons","24,00€","bacallà,peix,català,lleidatana,tardor,hivern,plattprincipal,degustació,tradicional,modern","bacallà,poma,espinaques,pinyons,farina,aigua,sal,oli d'oliva,all,ceba,vi blanc,sal,pebre",2025-09-24T17:39:34.450058
Incorrecte,Suquet de salmonet i carabiner,"29,00€","peix,marisc,sofregit,plat principal,cuina mediterrània,plat calent,tradicional,arrossos","salmonet,carabiner,ceba,all,tomàquet,pebre vermell dolç,pinyons,ametlles,vi blanc,caldo de peix,oli d'oliva verge extra,sal,pebre negre",2025-09-24T17:39:35.679561
Incorrecte,"Xai amb demi-glace, ceba, tapenada d'anxova i aire de romaní","26,00€","plat principal,carn,xai,gourmet,fresc,tardor,hivern,Mediterranean,italià","xai,demi-glace,ceba,anxova,romaní",2025-09-24T17:39:36.573108
Incorrecte,Arròs mar i muntanya amb escopinyes i peu de porc,"24,50€","mar i muntanya,arròs,plat combinat,cuina catalana,traditional,confort food,heavy","arròs,escopinyes,peu de porc,all,tomàquet,pebre vermell,julivert,oli d'oliva,sal,pebre negre,caldo de peix,caldo de carn",2025-09-24T17:39:37.765713
Incorrecte,Mandonguilles amb sípia i portobello,"22,00€","plat principal,plató de carn,plató de bolets,cuina mediterrània,cuina casolana,plat reconfortant,recepta fàcil","mandonguilles de carn (vedella, porc o mixta),síies (fresques o congelades),bolets portobello,ceba,all,tomàquet triturat o salsa de tomàquet,vi negre o vi blanc,bleda o brou de carn,oli d'oliva verge extra,sal,pebre negre,sal i pebre negre,pebrell (pebre vermell dolç),herbes aromàtiques (julivert, romaní, farigola),farina (opcional, per enfarinar les mandonguilles)",2025-09-24T17:39:39.140912
Incorrecte,"Flam d'ànec a la catalana amb puré de pruna, pinyons i espinacs","26,00€","cuina catalana,oca,ànec,farcit,dolç-salat,postres, Nadal,festa,tradicional,fritura,fruteria","pit d'ànec,pruna seca,pinyons,espinacs,pa ratllat,ous,poma,brandy,sal,pebre,oli d'oliva,sucre,ametlles",2025-09-24T17:39:40.768920
Incorrecte,Llobarro amb mongeta tendra perona i parmentier de patata i pebre d'Espelette,"26,00€","peix,mar,espanya,cuina mediterrània,plat principal,saludable,primavera,estiu,productes locals","Llobarro,mongeta tendra,patata,pebre d'Espelette,oli d'oliva,all,sal,pebre negre,llet,mantega,julivert",2025-09-24T17:39:42.299313
Incorrecte,"Bacallà a la lleidatana amb poma, tempura salada, espinacs i pinyons","24,00€","bacallà,lleidatana,peix,plata principal,cuina catalana,mediterrani,fresc,temporada tardor-hivern,poma,tempura,espinacs,pinyons,salat","bacallà,poma,farina de tempura,aigua gelada,oli per fregir,espinacs frescos,pinyons,all,oli d'oliva verge extra,sal,pebre negre",2025-09-24T17:39:43.794848
Incorrecte,"Xai amb demi-glace, ceba, tapenada d'anxova i aire de romaní","26,00€","cuina francesa,cuina mediterrània,plat principal,carn,xai,salsa demi-glace,ceba caramel·litzada,tapenade,anxova,romaní,molecular gastronomy,plat sofisticat,plat de temporada,productes frescos,plats forts","xai (cuixa, espatlla o pit),fons de carn fosc (per a la demi-glace),vi negre (per a la demi-glace),verduretes (mirepoix: ceba, pastanaga, api),tomàquet concentrat (per a la demi-glace),cebes,oli d'oliva,alls,tires de romaní fresc,aigua,lecitina de soja (per a l'aire)",2025-09-24T17:39:45.529692
Incorrecte,Arròs mar i muntanya amb escopinyes i peu de porc,"24,50€","arròs,mar i muntanya,escopinyes,peu de porc,plat principal,cuina catalana,socarrat,confitat,sofregit,fumat","Arròs bomba o rodó,Escopinyes,Peu de porc,Ceba,Tomàquet madur (ratllat o triturat),All,Pebre verd (opcional),Pimentó dolç,Sal,Oli d'oliva verge extra,Caldo de peix o fumet,Caldo de carn (o aigua),Vi blanc sec (opcional),Salseta o suc de cocció de les escopinyes,Julivert fresc (per guarnir),Pebre negre mòlt",2025-09-24T17:39:46.932842
Incorrecte,"Llobarro amb mongeta tendra, parmentier de patata i pebrot d'Espelette","26,00€","peix,mar,verdura,patata,picant lleuger,cuina mediterrània,plat principal,salvatge,saludable","llobarro,mongeta tendra,patata,pebrot d'Espelette,llet,mantega,oli d'oliva,sal,pebre negre",2025-09-24T17:39:48.070331
Incorrecte,Calamarets farcits de botifarra del perol amb salsa de la seva tinta i textures de coliflor,"21,50€","marisc,plat principal,catalana,traditional,farcit,sofisticat,cuina de mercat,temporada","calamarets,botifarra del perol,ceba,all,tomàquet triturat,vi blanc,sal,pebre,oli d'oliva verge extra,farina,coliflor,llet,mantega,sec,cru,puré,escumes",2025-09-24T17:39:49.356827
Incorrecte,"Llobarro amb bledes vermelles, puré d'api-rave i patata","26,00€","peix,mar,verdura,arrels,plat principal,saludable,mediterrani,temporada,cuina casolana","llobarro,bledes vermelles,api-rave,patata,oli d'oliva,all,sal,pebre negre,llet",2025-09-24T17:39:50.712440
Incorrecte,Mandonguilles amb sépia de platja,"22,00€","plat principal,mar i muntanya,tradicional,català,sopes i estofats,plat d'olla,fàcil,casolà","mandonguilles,sèpia,ceba,all,tomàquet triturat,vi blanc,farina,ou,pa ratllat,oli d'oliva,sal,pebre,julivert,bledes (opcional),pèsols (opcional)",2025-09-24T17:39:52.327950
Incorrecte,"Flam d'ànec a la catalana amb puré de pruna, pinyons i espinacs","26,00€","cuina catalana,plat principal,ànec,postres,flam,frutats,salats i dolços, Nadal,festa","pit d'ànec,ous,llet,sucre,prunes seques,pinyons,espinacs,sal,pebre",2025-09-24T17:39:53.657869
Incorrecte,"Vermut negre amb carbassa, cítrics i fruita de la passió","7,50€","aperitiu,vermut,carbassa,cítrics,fruita de la passió,refrescant,exòtic,dolç,acidesa,otoño,estiu,maridatge,beguda amb alcohol,gourmet","vermut negre,carbassa (puré o rodanxes),llimona,taronja,aranja,fruita de la passió,gel,gel de cub,suc de carbassa (opcional),especias (anís estrellat, canyella - opcional),mel o xarop d'atzavara (per ajustar dolçor - opcional),aigua amb gas o tònica (per diluir - opcional),ramillet d'herbes aromàtiques (menta, romaní - per decorar/aromatitzar)",2025-09-24T17:39:55.777423
Incorrecte,Torrada de Santa Teresa amb gelat de llet merengada,"8,00€","postre,dolç,nadalenc,tradicional,català,tostada,francea toast,gelat,llet merengada,cremos,suau,dolçor,ous,llet,pa,canyella,limona","pa (tipus brioix o similar),ous,llet,sucre,canyella en branca,pell de llimona,gelat de llet merengada,oli o mantega (per fregir),sucre (per empolvorar/caramel·litzar)",2025-09-24T17:39:57.885894
Incorrecte,"Bescuit amb gelat de xocolata, oli i sal","7,00€","postres,dolç,xocolata,gelat,bescuit,salat,oli d'oliva,senzill,gourmet","bescuit,gelat de xocolata,oli d'oliva,sal",2025-09-24T17:39:59.358373
Incorrecte,Coulant de formatge de cabra de Mogent de Maranges amb gelat de codonyat i sablé de romaní,"8,50€","postre,dolç,formatge de cabra,mogent,maranges,codonyat,sablé,romaní,català,mediterrani,elegant","formatge de cabra de Mogent de Maranges,codonyat,farina de blat,mantega,sucre,ous,romaní fresc,llet,nata",2025-09-24T17:40:00.627803
Incorrecte,"Gelatina de fruites del bosc amb cremós de maduixa, caviar de vinagre i sorbet de gerds","9,00€","postre,gelatina,fruites del bosc,maduixa,vinagre,gerds,sorbet,gastrònomic,modern,refrescant,dolç,acidulat,textures","fruites del bosc (frambueses, arándanos, moras),gelatina neutra (o agar-agar),maduixes,nata per muntar (o crema de coco per opció vegana),sucre,vinagre (normalment vinagre de vi blanc o balsàmic),aigua,gerds,llet (o beguda vegetal per opció vegana),suc de llimona",2025-09-24T17:40:02.422694
Incorrecte,Músic incorrecte,"9,00€","plat creatiu,sorprenent,joc culinari,funció estètica,desconstrucció,fusió d'elements,textures contrastants,sabors inesperats","ingredients base (a determinar segons la interpretació visual/conceptual),elements que evoquen la música (ex: formes de notes, instruments comestibles),elements que suggereixen 'incorrecte' (ex: colors inusuals, combinacions poc convencionals, textures sorprenents, elements 'desconstruïts'),salses de contrast,guarnicions inesperades",2025-09-24T17:40:07.748188
Incorrecte,Mel i mató amb nou caramel·litzada i cruixent barcelonès,"7,50€","postre,dolç,català,tradicional,mató,mel,nou,caramel·litzat,cruixent,fresc,llaminer","mató,mel,nous,sucre,aigua,(opcional: un toc de canyella per al cruixent, o un altre tipus de mel)",2025-09-24T17:40:08.899902
Incorrecte,"Préssec brasejat amb granissat de pinya, gelat de nata i rovell cremat","8,00€","postre,fruita,dolç,refrescant,cremos,tardor,estiu,modern,fusion","préssec,pinya,nata,rovell d'ou,sucre,aigua",2025-09-24T17:40:10.219447
Incorrecte,Torrada de brioix amb gelat de crema catalana,"8,00€","postre,dolç,brioix,gelat,crema catalana,torrada,fàcil,rápido,classsic,català","brioix,gelat de crema catalana,mantega",2025-09-24T17:40:10.977704
Incorrecte,"Bescuit amb gelat de xocolata, caviar d'oli i cremós","7,00€","postre,dolç,xocolata,gelat,bescuit,oli d'oliva,caviar,gourmet,sofisticat,textura","bescuit (tipus a determinar, ex. soletilla, bizcocho),gelat de xocolata,oli d'oliva (alta qualitat),elements per al caviar d'oli (ex. alginat de sodi, clorur de calci),cremós (tipus a determinar, ex. crema anglesa, ganache, crema de vainilla)",2025-09-24T17:40:12.077629
Incorrecte,"Coulant de formatge de cabra amb gelat de codonyat, romaní i sablé","8,50€","postres,salat dolç,formatge,fruita,herbes aromàtiques,textura cruixent,contrastos,gourmet,tradicional","formatge de cabra,ous,farina,mantega,sucre,codonyat,romaní,galetes sablé,llet",2025-09-24T17:40:13.219162
Incorrecte,"Gelatina aèria de mora, cremós de maduixes, fals caviar de vinagre i sorbet de gerds","9,00€","postres,gelatina,mora,maduixa,gerds,vinagreta,molecular,fresc,fruiter,elegant,gourmet","mora,gelatina neutra,maduixa,nata,sucre,vinagre balsàmic,alginat de sodi,clorur de calci,gerds,aigua,mel",2025-09-24T17:40:14.221648
Incorrecte,Músic incorrecte,"9,00€","català,tradicional,aprofitament,humble,confit,guisat,plat fort,salat,dolç-salat,nucli català,cuina d'abans","Carn de porc (restes de rostits, llom, botifarra),Carn de pollastre o gall d'indi (restes),Botifarra (idealment d'ou o negra),Pinyons,Raïm sec (passificades),Prunes seques,Sal,Pebre,Oli d'oliva,Opcional: Un rajolí de vi ranci o moscatell,Opcional: Farina (per lligar)",2025-09-24T17:40:17.842060
